pair1	pair2	burnin	say	sender	sent	guess	correct	sendtime	guesstime	isbaseline	stimn
abdomen	tax	TRUE	abdomen	1	niwa	tax	FALSE	2020-04-18 14:02:08	2020-04-18 14:02:15	FALSE	1
journey	zone	TRUE	journey	2	leho	zone	FALSE	2020-04-18 14:02:22	2020-04-18 14:02:43	FALSE	1
grade	music	TRUE	grade	1	leho	music	FALSE	2020-04-18 14:03:21	2020-04-18 14:03:29	FALSE	1
dentist	music	TRUE	dentist	2	paqu	dentist	TRUE	2020-04-18 14:03:37	2020-04-18 14:03:56	FALSE	1
tax	music	TRUE	tax	1	soqa	music	FALSE	2020-04-18 14:04:19	2020-04-18 14:04:22	FALSE	1
abdomen	music	TRUE	music	2	wusa	abdomen	FALSE	2020-04-18 14:04:32	2020-04-18 14:04:53	FALSE	1
belly	zone	TRUE	belly	1	wusa	belly	TRUE	2020-04-18 14:05:29	2020-04-18 14:05:34	FALSE	1
trip	dentist	TRUE	trip	2	huwo	trip	TRUE	2020-04-18 14:05:49	2020-04-18 14:06:15	FALSE	1
belly	abdomen	TRUE	belly	1	qolu	abdomen	FALSE	2020-04-18 14:06:51	2020-04-18 14:06:56	FALSE	1
abdomen	zone	TRUE	zone	2	leho	abdomen	FALSE	2020-04-18 14:07:06	2020-04-18 14:07:25	FALSE	1
journey	belly	TRUE	journey	1	qolu	belly	FALSE	2020-04-18 14:07:46	2020-04-18 14:07:53	FALSE	1
belly	abdomen	TRUE	abdomen	2	soqa	belly	FALSE	2020-04-18 14:08:00	2020-04-18 14:08:33	FALSE	1
journey	trip	TRUE	trip	1	soqa	journey	FALSE	2020-04-18 14:08:51	2020-04-18 14:08:57	FALSE	1
tax	music	TRUE	tax	2	paqu	tax	TRUE	2020-04-18 14:09:09	2020-04-18 14:09:13	FALSE	1
trip	music	TRUE	music	1	niwa	music	TRUE	2020-04-18 14:09:20	2020-04-18 14:09:29	FALSE	1
grade	tax	TRUE	grade	2	huwo	grade	TRUE	2020-04-18 14:09:38	2020-04-18 14:09:41	FALSE	1
dentist	grade	TRUE	dentist	1	huwo	grade	FALSE	2020-04-18 14:09:56	2020-04-18 14:09:59	FALSE	1
trip	zone	TRUE	zone	2	soqa	trip	FALSE	2020-04-18 14:10:12	2020-04-18 14:10:15	FALSE	1
area	tax	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:10:29	2020-04-18 14:10:37	FALSE	1
dentist	grade	TRUE	dentist	2	qolu	grade	FALSE	2020-04-18 14:10:47	2020-04-18 14:10:53	FALSE	1
area	zone	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:10:59	2020-04-18 14:11:01	FALSE	1
journey	trip	TRUE	journey	2	wusa	trip	FALSE	2020-04-18 14:11:10	2020-04-18 14:11:18	FALSE	1
belly	abdomen	TRUE	belly	1	huwo	abdomen	FALSE	2020-04-18 14:11:32	2020-04-18 14:11:37	FALSE	1
journey	area	TRUE	area	2	huwo	area	TRUE	2020-04-18 14:11:48	2020-04-18 14:11:54	FALSE	1
journey	trip	TRUE	trip	1	soqa	journey	FALSE	2020-04-18 14:12:03	2020-04-18 14:12:07	FALSE	1
journey	trip	TRUE	journey	2	leho	trip	FALSE	2020-04-18 14:12:18	2020-04-18 14:12:22	FALSE	1
zone	dentist	TRUE	zone	1	qolu	zone	TRUE	2020-04-18 14:12:37	2020-04-18 14:12:44	FALSE	1
journey	grade	TRUE	grade	2	huwo	grade	TRUE	2020-04-18 14:12:58	2020-04-18 14:13:02	FALSE	1
abdomen	dentist	TRUE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:13:14	2020-04-18 14:13:18	FALSE	1
belly	tax	TRUE	tax	2	paqu	tax	TRUE	2020-04-18 14:13:27	2020-04-18 14:13:38	FALSE	1
trip	tax	TRUE	trip	1	niwa	trip	TRUE	2020-04-18 14:13:48	2020-04-18 14:13:55	FALSE	1
trip	belly	TRUE	belly	2	huwo	trip	FALSE	2020-04-18 14:14:04	2020-04-18 14:14:08	FALSE	1
belly	dentist	TRUE	dentist	1	huwo	belly	FALSE	2020-04-18 14:14:22	2020-04-18 14:14:25	FALSE	1
dentist	music	TRUE	music	2	niwa	music	TRUE	2020-04-18 14:14:32	2020-04-18 14:14:34	FALSE	1
belly	music	TRUE	music	1	niwa	music	TRUE	2020-04-18 14:14:44	2020-04-18 14:14:47	FALSE	1
dentist	tax	TRUE	tax	2	paqu	dentist	FALSE	2020-04-18 14:14:55	2020-04-18 14:15:02	FALSE	1
zone	music	TRUE	zone	1	soqa	zone	TRUE	2020-04-18 14:15:13	2020-04-18 14:15:19	FALSE	1
area	grade	TRUE	area	2	huwo	grade	FALSE	2020-04-18 14:15:31	2020-04-18 14:15:36	FALSE	1
area	zone	TRUE	area	1	huwo	area	TRUE	2020-04-18 14:15:43	2020-04-18 14:15:48	FALSE	1
journey	tax	TRUE	journey	2	wusa	tax	FALSE	2020-04-18 14:15:59	2020-04-18 14:16:09	FALSE	1
grade	tax	TRUE	grade	1	huwo	grade	TRUE	2020-04-18 14:16:18	2020-04-18 14:16:21	FALSE	1
area	zone	TRUE	zone	2	qolu	zone	TRUE	2020-04-18 14:16:29	2020-04-18 14:16:31	FALSE	1
zone	grade	TRUE	grade	1	huwo	grade	TRUE	2020-04-18 14:16:36	2020-04-18 14:16:40	FALSE	1
area	zone	TRUE	area	2	huwo	area	TRUE	2020-04-18 14:16:48	2020-04-18 14:16:52	FALSE	1
trip	abdomen	TRUE	abdomen	1	huwo	abdomen	TRUE	2020-04-18 14:17:00	2020-04-18 14:17:09	FALSE	1
journey	trip	FALSE	trip	2	soqa	trip	TRUE	2020-04-18 14:17:17	2020-04-18 14:17:20	FALSE	1
trip	area	FALSE	area	1	huwo	area	TRUE	2020-04-18 14:17:26	2020-04-18 14:17:36	FALSE	1
journey	dentist	FALSE	journey	2	wusa	journey	TRUE	2020-04-18 14:17:44	2020-04-18 14:17:48	FALSE	1
